epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,2078.21,1.1437,0.86687,1.181,0.00488,0.95723,0.94137,0.97807,0.75295,0.80212,0.53072,0.98461,0.00072,0.000515,0.000515,0.000515
38,2220.37,1.13048,0.85591,1.16687,0.00454,0.94383,0.95201,0.97679,0.74608,0.80961,0.51871,0.98367,0.0008,0.00047375,0.00047375,0.00047375
39,2328.6,1.20173,0.87304,1.16084,0.00172,0.95048,0.94739,0.97776,0.74323,0.80924,0.51092,0.98589,0.0008,0.0004325,0.0004325,0.0004325
40,2422.25,1.17809,0.86345,1.14773,0.00171,0.95292,0.94464,0.97831,0.7442,0.79992,0.51621,0.97293,0.00078,0.00039125,0.00039125,0.00039125
41,2519.58,1.17525,0.86451,1.14076,0.0016,0.95978,0.9423,0.97822,0.75534,0.78448,0.51187,0.96916,0.00071,0.00035,0.00035,0.00035
42,2618.3,1.17132,0.85564,1.14321,0.00155,0.97151,0.93649,0.97917,0.75716,0.78317,0.50229,0.96972,0.00075,0.00030875,0.00030875,0.00030875
43,2755.64,1.15359,0.84606,1.1327,0.00151,0.96415,0.9382,0.97898,0.75214,0.79581,0.52205,0.97197,0.00072,0.0002675,0.0002675,0.0002675
44,2854.85,1.15404,0.84216,1.13565,0.00148,0.96604,0.94003,0.97971,0.75681,0.78473,0.50847,0.96053,0.00067,0.00022625,0.00022625,0.00022625
45,2945.79,1.14523,0.83879,1.1233,0.00152,0.96082,0.93669,0.97867,0.75491,0.78223,0.50799,0.96583,0.00079,0.000185,0.000185,0.000185
46,3048.17,1.13108,0.83241,1.11664,0.00136,0.958,0.93948,0.97843,0.75957,0.77542,0.50143,0.95966,0.00072,0.00014375,0.00014375,0.00014375
47,3159.38,1.12437,0.8264,1.12169,0.00138,0.96379,0.9367,0.97883,0.76028,0.77026,0.49622,0.95979,0.00069,0.0001025,0.0001025,0.0001025
48,3278.82,1.11389,0.82818,1.11595,0.00134,0.96201,0.93863,0.97854,0.76249,0.76393,0.4944,0.95691,0.0007,6.125e-05,6.125e-05,6.125e-05
